Basic_data_and_indicators,,,,Units,Notes,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
,Total_departures,,,Thousands,,2519,2732,2933,3161,3210,3498,3443,3461,3388,4369,4756,4941,5462,5808,6276,7103,7788,8212,9052,9480,9810,10390,10932,11403,11624,2832,301
,,Overnights visitors (tourists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Same-day visitors (excursionists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
AUSTRIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total_departures,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Overnights visitors (tourists),,Thousands,1/,..,..,..,..,..,7528,8350,8266,8384,8371,8206,10042,9876,9677,10121,9882,9874,10960,10671,10994,10628,11534,11491,11043,11902,3964,7522
,,Same-day visitors (excursionists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
AZERBAIJAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total_departures,,,Thousands,,..,432,654,1146,1204,1326,1130,1141,1475,1473,1830,1836,1631,2162,2363,3176,3550,3874,4285,4244,4096,4282,4109,4908,5568,1165,975
,,Overnights visitors (tourists),,Thousands,,..,..,..,..,..,..,..,..,..,..,887,890,791,1048,1145,1820,2308,2829,3307,3319,3256,3592,3447,3919,4579,..,..
,,Same-day visitors (excursionists),,Thousands,,..,..,..,..,..,..,..,..,..,..,943,946,840,1114,1217,1356,1242,1045,978,925,840,690,662,989,989,..,..
BAHAMAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total_departures,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Overnights visitors (tourists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
