"basic","country","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"air","Greece","8,479","7,684","8,148","8,646","9,962","10,454","10,841","10,438","10,417","9,974","10,915","11,509","11,920","11,692","10,748","10,637","11,671","10,993","12,302","14,057","14,981","16,331","17,947","20,386","20,709","5,550","11,630"
"water","Greece","1,422","1,127","1,084","1,282","1,239","1,308","1,430","1,535","1,445","1,510","1,932","2,255","1,081","1,080","1,008","1,031","948","790","807","701","632","861","973","935","1,044","269","435"
"land","Greece","811","971","1,357","1,436","1,405","1,805","2,408","2,945","2,923","2,784","3,090","3,520","3,163","3,167","3,159","3,339","3,808","3,734","4,810","7,275","7,986","7,608","8,274","8,802","9,595","1,555","2,639"
"total","Guatemala","563","520","577","636","823","826","836","884","880","1,182","1,316","1,502","1,627","1,715","1,311","1,384","1,434","1,491","1,516","1,739","1,865","1,906","2,120","2,406","2,560","594","666"
"air","Guatemala","299","269","303","331","358","366","408","403","402","434","480","497","558","556","494","521","508","537","553","598","640","681","738","783","806","205","359"
"water","Guatemala","22","19","42","47","27","10","11","15","26","34","31","63","52","71","92","83","83","84","83","82","87","112","136","150","131","42","4"
"land","Guatemala","242","232","232","258","438","450","417","466","452","714","805","942","1,017","1,088","725","779","843","871","880","1,059","1,138","1,113","1,246","1,472","1,623","347","303"
"total","Israel","2,215","2,100","2,010","1,942","2,313","2,417","1,196","861","1,064","1,506","1,903","1,825","2,067","2,573","2,321","2,803","2,820","2,886","2,962","2,927","2,799","2,900","3,613","4,121","4,552","831","397"
"air","Israel","1,678","1,612","1,561","1,553","1,827","1,955","1,060","778","972","1,339","1,653","1,568","1,747","2,114","1,963","2,313","2,438","2,482","2,580","2,528","2,509","2,623","3,205","3,634","3,968","740","381"
"water","Israel","22","17","19","16","18","16","6","3","4","5","5","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"land","Israel","515","471","430","373","468","446","130","80","88","162","245","255","319","458","358","490","382","404","381","399","290","277","408","486","583","92","16"
"total","Italy","55,706","59,805","57,999","58,500","59,522","62,702","60,959","63,561","63,025","58,480","59,230","66,353","70,270","70,718","71,692","73,225","75,866","76,294","76,762","77,694","81,068","84,925","89,931","93,229","95,399","38,419","40,186"
"air","Italy","8,500","8,558","8,984","9,200","9,507","10,773","10,926","11,567","12,062","16,927","18,592","21,520","23,226","21,368","19,930","21,092","23,079","23,276","24,883","25,737","28,114","30,484","34,117","37,230","39,396","9,976","11,544"
"water","Italy","2,029","2,165","2,497","2,338","2,403","2,952","2,729","2,913","2,932","2,022","2,126","1,901","1,650","2,118","2,365","2,552","2,062","1,820","1,562","1,511","1,609","1,702","1,634","1,701","1,728","628","1,027"
"land","Italy","45,177","49,082","46,518","46,962","47,612","48,977","47,304","49,081","48,031","39,531","38,512","42,932","45,394","47,232","49,397","49,581","50,725","51,198","50,318","50,446","51,345","52,739","54,181","54,298","54,275","27,815","27,615"
