Basic_data_and_indicators,,,Units,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
,Total,,Thousands,..,..,..,..,..,2909,2620,2820,2996,3457,3823,4173,4562,4700,4307,6800,6703,6497,6510,7165,6816,6668,6711,6942,7399,2090,297,
,,Air,Thousands,..,..,..,..,..,1192,998,928,1227,1666,2069,2279,2566,2586,2220,2865,2885,2764,2530,2609,2426,2390,2567,2760,3065,694,211,
,,Water,Thousands,..,..,..,..,..,389,300,275,339,274,318,391,453,492,457,1031,1012,974,1048,997,1003,1019,1033,1037,1095,358,28,
,,Land,Thousands,..,..,..,..,..,1328,1322,1617,1430,1517,1436,1503,1543,1622,1630,2903,2806,2760,2933,3559,3387,3259,3112,3145,3239,1037,58,
ARMENIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,12,13,23,32,41,45,124,162,206,262,318,381,511,558,575,683,758,963,1084,1204,1192,1260,1495,1652,1894,375,..,
,,Air,Thousands,11,12,20,29,36,39,107,135,173,196,225,270,344,371,382,460,503,564,618,701,693,740,766,806,980,199,..,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,1,1,3,3,5,6,17,27,33,66,93,111,167,187,193,223,255,399,466,503,499,519,729,846,914,176,..,
ARUBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Cruise passengers only.
,Total,,Thousands,912,957,947,906,972,1211,1178,1225,1184,1304,1286,1285,1254,1383,1420,1394,1469,1481,1667,1739,1832,1758,1863,1897,1951,368,807,
,,Air,Thousands,619,641,650,647,683,721,691,643,642,728,733,694,772,827,813,824,869,904,979,1072,1225,1102,1071,1082,1119,368,807,
,,Water,Thousands,293,316,297,259,289,490,487,582,542,576,553,591,482,556,607,570,600,577,688,667,607,656,792,815,832,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
AUSTRALIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
