Basic_data_and_indicators,,,Units,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
,,Land,Thousands,..,..,..,104,105,115,197,264,245,336,445,525,675,814,972,1126,1320,1786,2117,2132,2151,2154,2144,1960,2050,498,96,
CAMEROON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,..,..,..,..,..,..,..,..,..,..,..,452,477,487,498,573,604,817,783,822,897,994,1081,997,1021,..,..,
,,Air,Thousands,..,..,..,..,..,..,..,..,..,..,..,199,217,224,218,267,279,351,269,244,308,401,464,475,489,..,..,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,13,12,19,27,8,11,32,21,24,27,30,28,17,19,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,240,248,244,253,298,314,434,493,554,563,564,589,506,513,..,..,
CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,16968,17329,17669,18869,19411,19627,19679,20058,17534,19145,18770,18265,17935,17142,15737,16219,16014,16344,16059,16537,17971,19971,20883,21134,22145,..,..,
,,Air,Thousands,5731,6319,6622,6941,7351,7634,7348,7193,6408,7497,7746,7785,7818,7651,6781,7162,7255,7418,7171,7732,8423,9803,10577,10372,10999,..,..,
,,Water,Thousands,302,280,355,380,359,484,530,531,626,714,706,754,833,845,812,807,764,725,722,692,706,796,848,960,1114,..,..,
,,Land,Thousands,10935,10730,10692,11548,11701,11509,11801,12334,10500,10934,10318,9726,9284,8646,8144,8250,7996,8201,8167,8113,8842,9373,9459,9802,10033,..,..,
CAYMAN ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Cruise passengers only.
,Total,,Thousands,1044,1173,1248,1275,1431,1385,1549,1878,2113,1953,1967,2197,2008,1856,1792,1886,1710,1829,1721,1993,2102,2097,2147,2384,2334,660,17,
,,Air,Thousands,361,373,381,404,395,354,334,303,294,260,168,267,292,303,272,288,309,322,345,383,385,385,418,463,503,122,17,
,,Water,Thousands,683,800,867,871,1036,1031,1215,1575,1819,1693,1799,1930,1716,1553,1520,1598,1401,1507,1376,1610,1717,1712,1728,1921,1831,538,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
CENTRAL AFRICAN REPUBLIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Arrivals by air to Bangui only.
,Total,,Thousands,26,21,17,8,10,11,10,3,6,8,12,14,17,31,52,54,65,71,84,96,121,82,107,109,87,..,..,
,,Air,Thousands,26,21,17,8,10,11,10,3,6,8,12,14,17,31,52,54,65,71,84,96,121,82,107,109,87,..,..,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
CHAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,..,..,..,41,46,54,118,120,81,69,30,46,77,61,70,71,77,86,97,119,120,98,87,..,..,..,..,
,,Air,Thousands,..,..,..,27,31,38,79,80,54,48,21,42,74,58,67,62,74,84,97,119,120,98,87,..,..,..,..,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,14,15,16,39,40,27,21,9,4,3,3,3,9,3,2,..,..,..,..,..,..,..,..,..,
CHILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ From 2008 including nationals residing abroad.
,Total,,Thousands,1540,1449,1643,1757,1632,1742,1723,1412,1614,1785,2027,2253,2507,2710,2760,2801,3137,3554,3576,3674,4478,5641,6450,5723,4518,1119,..,
,,Air,Thousands,552,571,655,683,640,662,649,606,708,760,855,912,1055,1086,1030,1052,1265,1445,1475,1535,1710,1985,2569,2364,2079,423,..,
,,Water,Thousands,8,6,13,17,20,26,34,28,37,67,75,95,104,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,980,872,975,1057,972,1054,1040,778,869,958,1097,1246,1348,1624,1730,1749,1872,2109,2101,2140,2768,3656,3881,3359,2439,697,..,
CHINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Including ethnic Chinese arriving from ""Hong Kong, China"", ""Macao, China"", ""Taiwan, Province of China"" and overseas Chinese, of which most same-day visitors are from ""Hong Kong, China"" and ""Macao, China"". From 2016: including arrivals of non-residents visitors through border areas in China. The data are not comparable with those of previous years.
2/ On foot."
,Total,,Thousands,46387,51126,57588,63477,72796,83444,89012,97908,91661,109038,120293,124942,131872,130027,126476,133762,135423,132405,129078,128498,133820,141774,153260,158606,162538,..,..,
,,Air,Thousands,4813,5325,5856,5559,6627,7745,8617,10343,8080,12617,14736,16500,18815,16813,16301,20014,20911,21421,20744,21086,21012,22676,23070,24448,25299,..,..,
,,Water,Thousands,3997,4164,4578,3754,3814,3860,4115,4377,3787,4727,5212,5484,5920,5480,4672,5039,5082,4793,4644,4594,4540,4732,4612,4659,4229,..,..,
,,Land,Thousands,37577,41637,47154,54164,62355,71839,76280,83188,79794,91694,100345,102958,107137,107734,105503,108709,109430,106191,103690,102818,108268,114367,125578,129500,133011,..,..,
COLOMBIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Excluding visitors resident in Venezuela and nationals residing abroad.
,Total,,Thousands,1399,751,758,794,725,707,788,661,668,840,981,1104,1322,1450,1353,1217,1471,1365,1487,1695,1985,2241,2466,2709,2814,792,1249,
,,Air,Thousands,294,495,546,645,510,520,549,507,551,701,834,936,1055,1068,1192,1146,1385,1284,1394,1577,1853,2094,2311,2570,2671,758,1234,
,,Water,Thousands,70,193,162,149,181,150,175,96,44,51,50,52,128,231,6,10,17,14,19,29,30,33,40,43,44,11,6,
,,Land,Thousands,1035,63,50,..,34,37,64,58,73,88,97,116,139,151,155,61,69,67,74,89,102,114,115,96,99,22,9,
COMOROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,23,24,26,27,24,24,19,19,14,18,20,17,15,15,11,15,19,23,22,23,24,27,28,36,45,7,29,
,,Air,Thousands,23,24,26,27,24,24,19,19,14,18,20,17,15,15,11,15,19,23,22,23,24,27,28,36,45,7,29,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
CONGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Surveys. Source: ""Direction Générale de l'Industrie Touristique"". Including nationals residing abroad."
,Total,,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,199,224,259,345,229,224,213,151,158,..,..,..,
,,Air,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,113,115,136,150,151,163,133,97,96,..,..,..,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,86,109,123,195,78,61,80,53,62,..,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
"CONGO, DEMOCRATIC REPUBLIC OF THE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ 2002-2004, 2007-2010: arrivals by air only.
2/ 2011-2016: The arrivals data relate only to three border posts (N'Djili airport in Kinshasa, the Luano airport in Lubumbashi, and the land border-crossing of Kasumbalesa in Katanga province)"
,Total,,Thousands,35,..,..,..,..,..,54,28,35,36,61,55,47,50,53,81,186,167,191,..,354,351,..,..,..,..,..,
,,Air,Thousands,20,..,..,..,..,..,26,28,35,36,39,41,47,50,53,81,160,156,180,..,187,186,..,..,..,..,..,
,,Water,Thousands,15,..,..,..,..,..,28,..,..,..,..,..,..,..,..,..,..,1,3,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,22,14,..,..,..,..,26,10,8,..,166,165,..,..,..,..,..,
COOK ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Air,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
COSTA RICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,785,781,812,942,1031,1088,1131,1113,1239,1453,1680,1725,1980,2089,1923,2100,2192,2343,2428,2527,2660,2925,2960,3017,3139,1012,1347,
,,Air,Thousands,581,560,582,669,734,801,812,798,928,1088,1244,1232,1357,1424,1320,1418,1464,1552,1617,1721,1859,2115,2189,2315,2418,790,1271,
,,Water,Thousands,6,6,7,7,10,23,11,6,12,10,9,6,5,4,2,5,7,10,8,10,8,10,10,9,12,5,2,
,,Land,Thousands,198,215,223,266,287,264,308,309,299,355,427,487,618,661,601,677,721,781,802,796,793,800,760,693,709,218,74,
COTE D´IVOIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Arrivals to Félix Houphouët Boigny Airport only. 2015: break in the series: figures include arrivals by land (road and railway).
,Total,,Thousands,188,237,274,..,..,..,..,..,..,..,..,..,..,205,231,252,270,289,380,471,1441,1583,1800,1965,2070,668,..,
,,Air,Thousands,188,237,260,..,..,..,..,..,..,..,..,..,..,205,231,252,270,289,380,471,537,632,720,752,790,284,..,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,14,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,904,951,1081,1212,1280,384,..,
CROATIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Includes road passengers in transit.
2/ Data from survey on traffic in airports, all international arrivals.
3/ Data from survey on traffic in sea ports, all international arrivals. Includes passengers on cruise ships.
4/ Data from survey on traffic in sea ports, all international arrivals. Includes passengers on cruise ships. Data includes total arrivals of non-resident passengers at national borders by road. Passengers in transit are included."
,Total,,Thousands,16100,19085,23660,25499,29215,37226,40129,41736,42857,44974,45762,47733,52271,51336,47573,49006,49969,47185,48345,51168,55858,57587,59238,57668,60021,21608,34123,
,,Air,Thousands,419,522,577,631,580,740,813,887,1006,1202,1566,1825,2033,2055,1947,2136,2299,2505,2689,2879,3119,3566,4222,4699,5153,882,2124,
,,Water,Thousands,78,109,164,178,122,183,244,306,384,921,984,1036,1200,1367,1405,1542,1638,1619,1602,1451,1439,1506,1354,1498,1590,22,290,
,,Land,Thousands,15603,18454,22919,24690,28513,36303,39072,40543,41467,42851,43212,44872,49038,47914,44221,45328,46032,43061,44054,46838,51300,52515,53662,51472,53277,20704,31709,
CUBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,742,999,1153,1390,1561,1741,1736,1656,1847,2017,2261,2150,2119,2316,2405,2507,2688,2823,2839,2981,3506,3975,4594,4684,4263,1085,..,
,,Air,Thousands,742,999,1153,1390,1561,1741,1736,1656,1847,2017,2261,2150,2119,2316,2405,2507,2688,2823,2839,2981,3506,3975,4594,4684,4263,1085,..,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
CURAÇAO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Cruise ship arrivals.
,Total,,Thousands,396,387,422,437,433,513,519,545,507,452,510,572,664,773,808,761,837,907,1071,1129,1072,944,1058,1210,1293,436,..,
,,Air,Thousands,224,214,205,206,212,205,219,226,228,233,234,250,323,420,385,378,436,471,487,500,507,474,423,452,483,180,..,
,,Water,Thousands,172,173,217,231,221,308,300,319,279,219,276,322,341,353,423,383,401,436,584,629,566,470,634,757,810,256,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
CYPRUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Same-day visitors at ports.
,Total,,Thousands,2253,2089,2194,2357,2578,2912,2841,2495,2416,2478,2657,2629,2671,2631,2370,2450,2626,2634,2626,2588,2780,3286,3750,4024,4117,..,..,
,,Air,Thousands,2159,2002,2099,2245,2451,2703,2717,2431,2320,2357,2479,2408,2425,2410,2145,2179,2410,2471,2419,2453,2672,3201,3673,3962,4005,..,..,
,,Water,Thousands,94,87,95,112,127,209,124,64,96,121,178,221,246,221,225,271,216,163,207,135,108,85,77,62,112,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
CZECH REPUBLIC (CZECHIA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Air,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
DENMARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Air,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
DJIBOUTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Air,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
DOMINICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,68,69,68,67,78,72,68,71,77,82,79,85,80,81,75,77,76,79,78,82,75,78,72,64,90,22,..,
,,Air,Thousands,44,47,48,47,54,50,47,49,52,56,58,62,56,55,48,49,48,47,47,51,44,48,42,37,50,13,..,
,,Water,Thousands,24,22,20,20,24,22,21,22,25,26,21,23,24,26,27,28,28,32,31,31,31,31,30,27,40,8,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
DOMINICAN REPUBLIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,1806,2037,2482,2702,2932,3161,3090,3058,3680,3907,3981,4268,4365,4455,4489,4478,4654,4901,5114,5576,6129,6769,7296,7551,7550,2748,5327,
,,Air,Thousands,1776,1926,2211,2309,2649,2978,2882,2811,3282,3450,3691,3965,3980,3980,3992,4125,4306,4563,4690,5141,5600,5959,6188,6569,6446,2405,4994,
,,Water,Thousands,30,111,271,393,283,183,208,247,398,457,290,303,385,475,497,353,348,338,424,435,529,809,1108,982,1104,343,333,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
ECUADOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Including nationals residing abroad.
,Total,,Thousands,439,494,530,511,517,628,641,683,761,819,860,840,937,1005,968,1047,1141,1272,1364,1695,1676,1569,1806,2535,2108,507,..,
,,Air,Thousands,281,307,348,353,343,383,422,432,450,496,540,557,639,714,699,750,783,848,959,1187,1177,1102,1138,1193,1221,395,..,
,,Water,Thousands,9,11,9,10,6,5,5,6,5,8,5,4,7,9,8,8,21,27,12,64,65,62,55,44,50,10,..,
,,Land,Thousands,149,176,173,148,168,240,214,245,306,315,315,279,291,282,261,289,337,396,393,443,435,406,612,1298,838,103,..,
EGYPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,3134,3896,3961,3454,4797,5506,4648,5192,6044,8104,8607,9082,11091,12836,12536,14731,9845,11532,9464,9878,9328,5399,8292,11346,13026,..,..,
,,Air,Thousands,2076,2579,2747,2281,3542,4190,3800,4280,4841,6577,6713,7610,9917,11500,11396,12616,8159,9845,8237,9010,8521,4594,7300,9976,11317,..,..,
,,Water,Thousands,353,516,476,385,455,583,451,437,454,646,1094,660,268,287,242,277,185,235,233,126,100,93,91,100,100,..,..,
,,Land,Thousands,705,801,738,788,800,733,397,475,749,881,800,812,906,1049,898,1838,1501,1452,994,742,706,713,901,1271,1609,..,..,
EL SALVADOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,235,283,387,541,658,795,735,799,720,951,1127,1279,1339,1385,1091,1149,1184,1255,1283,1345,1402,1434,1556,1677,1766,549,1219,
,,Air,Thousands,154,164,206,189,230,234,224,253,262,449,499,483,527,490,430,426,470,541,589,591,599,616,643,727,773,293,813,
,,Water,Thousands,..,..,..,..,5,5,6,5,1,1,1,1,1,3,..,..,..,..,..,..,..,..,"0,3",..,..,..,..,
,,Land,Thousands,81,119,181,352,423,556,505,541,457,501,627,795,811,892,661,723,714,714,694,754,803,818,913,950,993,256,406,
EQUATORIAL GUINEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Air,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
ERITREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Including nationals residing abroad.
,Total,,Thousands,315,417,410,188,57,70,113,101,80,87,83,78,81,70,79,84,107,129,141,119,114,142,..,..,..,..,..,
,,Air,Thousands,56,58,62,35,26,34,59,51,49,51,45,35,38,38,35,40,42,79,48,45,32,84,..,..,..,..,..,
,,Water,Thousands,5,3,5,2,3,3,2,2,2,2,1,2,2,1,..,..,..,1,1,1,1,1,..,..,..,..,..,
,,Land,Thousands,254,356,343,151,28,33,52,48,29,34,37,41,41,31,44,44,65,49,92,73,81,57,..,..,..,..,..,
ESTONIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,2110,2444,2618,2909,..,3310,3230,3253,3377,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Air,Thousands,105,130,135,150,..,149,152,161,185,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Water,Thousands,1585,1735,1770,1900,..,2221,2143,2212,2193,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,420,579,713,859,..,940,935,880,999,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
ESWATINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,299,1337,1635,986,1253,1151,1312,1371,1543,..,1182,1200,1230,1186,1344,1342,1328,1279,1299,1325,1256,1279,1343,1277,1226,345,..,
,,Air,Thousands,23,22,20,21,17,20,13,14,17,..,22,22,27,27,26,25,22,23,22,16,20,20,20,20,19,11,..,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,276,1315,1615,965,1236,1131,1299,1357,1526,..,1160,1178,1203,1159,1318,1317,1306,1256,1277,1308,1236,1258,1323,1258,1207,334,..,
ETHIOPIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Arrivals through all ports of entry; including nationals residing abroad.
,Total,,Thousands,103,109,139,112,115,136,148,156,180,184,227,330,358,383,427,468,523,596,681,770,864,871,933,849,812,271,518,
,,Air,Thousands,103,109,115,91,92,109,116,131,160,173,193,290,312,330,371,403,450,513,661,749,839,845,906,834,768,257,475,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,24,21,23,27,32,25,20,11,34,40,46,53,56,65,73,83,20,22,25,25,27,16,44,14,44,
FIJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Excluding nationals residing abroad.
,Total,,Thousands,336,419,441,371,410,294,348,398,430,..,545,549,540,585,542,632,675,661,..,..,..,..,..,..,..,..,..,
,,Air,Thousands,313,396,424,365,404,287,342,390,422,..,537,538,527,570,528,613,654,642,..,..,..,..,..,..,..,..,..,
,,Water,Thousands,23,23,17,6,6,7,6,8,8,..,8,11,13,15,14,19,21,19,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
FINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Border Interview survey. Note: the survey was cancelled at the end of 2012.
,Total,,Thousands,..,..,..,3432,3363,3789,4252,4687,4527,4854,5038,5345,5736,6072,5695,6182,7260,7636,..,..,..,..,..,..,..,..,..,
,,Air,Thousands,..,..,..,1222,1208,1427,1558,1603,1577,1640,1734,1999,2049,2265,2036,2214,2533,2434,..,..,..,..,..,..,..,..,..,
,,Water,Thousands,..,..,..,1247,1104,1218,1241,1362,1287,1449,1538,1593,1694,1637,1606,1580,1722,1865,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,963,1051,1144,1453,1722,1663,1765,1766,1753,1993,2170,2053,2388,3005,3337,..,..,..,..,..,..,..,..,..,
FRANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ 1985-2003: estimates based on surveys at national borders.
From 2004 source: DGE, Banque de France. Non resident visitor survey (EVE) - results 2018 provisional."
,Total,,Thousands,..,62405,66591,..,..,..,75202,..,..,74433,74988,77916,80852,79218,76764,76647,80499,81980,83634,83701,84452,82682,86758,89322,90914,..,..,
,,Air,Thousands,..,9136,9670,..,..,..,11574,..,..,14882,16325,17825,20710,21895,19520,18594,21190,22233,23581,23670,26327,26350,27509,28880,29395,..,..,
,,Water,Thousands,..,4527,4990,..,..,..,4470,..,..,7558,7488,7793,7675,7309,6962,7056,6652,6095,6677,5256,5607,5094,5814,5775,5878,..,..,
,,Land,Thousands,..,48742,51931,..,..,..,59158,..,..,51993,51175,52298,52467,50014,50282,50998,52656,53652,53376,54775,52518,51238,53435,54667,55641,..,..,
FRENCH GUIANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Survey at Cayenne-Rochambeau airport on departure.
,Total,,Thousands,..,..,..,..,..,..,65,65,..,..,..,..,..,..,..,..,..,..,..,..,87,96,111,..,..,..,..,
,,Air,Thousands,..,..,..,..,..,..,65,65,..,..,..,..,..,..,..,..,..,..,..,..,87,96,111,..,..,..,..,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
FRENCH POLYNESIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,172,164,180,189,211,252,228,189,213,212,208,222,218,196,160,154,163,169,164,181,184,192,199,216,237,77,83,
,,Air,Thousands,166,164,180,189,211,252,228,189,213,212,208,222,218,196,160,154,163,169,164,181,184,192,199,216,237,77,83,
,,Water,Thousands,6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
GABON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,125,145,167,195,178,155,169,208,222,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
